Date,Open,High,Low,Close,Adj_Close,Volume
Jan 20 2021,	13029.75,	13327.25,	13018.00,	13294.25,	13294.25,	635635
Jan 21 2021,	13290.25,	13423.75,	13283.00,	13395.50,	13395.50,	672678
Jan 22 2021,	13394.75,	13400.50,	13300.00,	13361.50,	13361.50,	636521
Jan 25 2021,	13366.00,	13555.00,	13189.00,	13475.50,	13475.50,	1112348
Jan 26 2021,	13460.25,	13599.75,	13380.75,	13485.50,	13485.50,	863645
Jan 27 2021,	13553.00,	13586.75,	12882.50,	13105.50,	13105.50,	1285859
Jan 28 2021,	13053.75,	13394.00,	12906.25,	13186.00,	13186.00,	1211130
Jan 29 2021,	13159.25,	13187.25,	12830.00,	12911.25,	12911.25,	1713363
Feb 01 2021,	12850.00,	13271.75,	12726.75,	13236.50,	13236.50,	1046257
Feb 02 2021,	13232.75,	13509.00,	13230.00,	13449.00,	13449.00,	793264
Feb 03 2021,	13503.75,	13584.25,	13387.00,	13394.25,	13394.25,	836674
Feb 04 2021,	13427.50,	13572.00,	13345.75,	13547.50,	13547.50,	637416
Feb 05 2021,	13563.00,	13638.50,	13519.25,	13598.00,	13598.00,	605123
Feb 08 2021,	13620.75,	13692.50,	13596.00,	13683.00,	13683.00,	624302
Feb 09 2021,	13685.00,	13735.25,	13634.00,	13680.25,	13680.25,	588737
Feb 10 2021,	13698.75,	13769.25,	13517.25,	13643.50,	13643.50,	971540
Feb 11 2021,	13667.25,	13744.00,	13613.50,	13729.00,	13729.00,	812009
Feb 12 2021,	13710.25,	13822.50,	13646.00,	13804.75,	13804.75,	569427
Feb 16 2021,	13829.00,	13900.75,	13715.75,	13767.75,	13767.75,	876085
Feb 17 2021,	13757.75,	13785.50,	13543.00,	13699.75,	13699.75,	862384
Feb 18 2021,	13699.00,	13724.75,	13468.75,	13633.00,	13633.00,	936629
Feb 19 2021,	13638.50,	13729.00,	13534.25,	13576.00,	13576.00,	905237
Feb 22 2021,	13584.50,	13629.00,	13215.00,	13224.25,	13224.25,	1137912
